features_removed,accuracy,f1_macro
"avg_in_time_interval,unique_in_ratio",0.8237812911725956,0.8186848607674632
"avg_in_time_interval,unique_out_ratio",0.8234519104084321,0.8187300355255694
"avg_in_time_interval,volume_ratio",0.8274044795783926,0.8224329942566506
"avg_in_time_interval,net_balance_ratio",0.8270750988142292,0.8222342673311551
"avg_in_time_interval,activity_index",0.8204874835309618,0.8155851511841317
"avg_in_time_interval,time_interval_ratio",0.8241106719367589,0.8191666261400075
"avg_in_time_interval,weighted_avg_tx",0.8267457180500659,0.8217552575935081
"avg_in_time_interval,wallet_lifetime_sec",0.8168642951251647,0.8119250844992085
"avg_out_time_interval,avg_active_duration",0.8191699604743083,0.8144343325720761
"avg_out_time_interval,in_out_ratio",0.827733860342556,0.8230294203106439
"avg_out_time_interval,unique_in_ratio",0.8247694334650857,0.8193891791311816
"avg_out_time_interval,unique_out_ratio",0.8227931488801054,0.8176888376146527
"avg_out_time_interval,volume_ratio",0.8227931488801054,0.8176888376146527
"avg_out_time_interval,net_balance_ratio",0.8234519104084321,0.8184893475862247
"avg_out_time_interval,activity_index",0.8244400527009222,0.8195254561666776
"avg_out_time_interval,time_interval_ratio",0.8234519104084321,0.8186505238898684
"avg_out_time_interval,weighted_avg_tx",0.8306982872200264,0.8261321824327215
"avg_out_time_interval,wallet_lifetime_sec",0.8125823451910409,0.8074215462671372
"avg_active_duration,in_out_ratio",0.8227931488801054,0.8177300959909656
"avg_active_duration,unique_in_ratio",0.8181818181818182,0.8131128937864882
"avg_active_duration,unique_out_ratio",0.8218050065876152,0.8168981661344838
"avg_active_duration,volume_ratio",0.8218050065876152,0.8169386546616793
"avg_active_duration,net_balance_ratio",0.8218050065876152,0.8168166450021999
"avg_active_duration,activity_index",0.8218050065876152,0.8171777916023439
"avg_active_duration,time_interval_ratio",0.8227931488801054,0.8179738467402037
"avg_active_duration,weighted_avg_tx",0.8274044795783926,0.8226714582534488
"avg_active_duration,wallet_lifetime_sec",0.813570487483531,0.8085424421340863
"in_out_ratio,unique_in_ratio",0.8234519104084321,0.8181161377085415
"in_out_ratio,unique_out_ratio",0.8244400527009222,0.8195657034029322
"in_out_ratio,volume_ratio",0.825098814229249,0.8199583275957556
"in_out_ratio,net_balance_ratio",0.827733860342556,0.8227113695299613
"in_out_ratio,activity_index",0.8280632411067194,0.8231507622811971
"in_out_ratio,time_interval_ratio",0.8274044795783926,0.8223926326944281
"in_out_ratio,weighted_avg_tx",0.8290513833992095,0.8241073696043241
"in_out_ratio,wallet_lifetime_sec",0.8152173913043478,0.810002067091337
"unique_in_ratio,unique_out_ratio",0.8181818181818182,0.8128594578852486
"unique_in_ratio,volume_ratio",0.8244400527009222,0.819444424298261
"unique_in_ratio,net_balance_ratio",0.8158761528326746,0.8103773550121245
"unique_in_ratio,activity_index",0.8204874835309618,0.8150835919125474
